timestamp,message
"2025-04-26 14:01:55","ResidentSleeper boring part"
"2025-04-26 14:02:02","Abi şu oyunu değiştir artık cidden sıktı."
"2025-04-26 14:02:10","ЛОЛ что это было?"
"2025-04-26 14:02:17","Anyone knows the song name?"
"2025-04-26 14:02:25","Şarkının adı ne? bilen?"
"2025-04-26 14:02:33","Stop playing like a bot dude 🤖"
"2025-04-26 14:02:40","Nice try!"
"2025-04-26 14:02:48","OMEGALUL HE FELL OFF"
"2025-04-26 14:02:55","Ya sabır... Bune şimdi?"
"2025-04-26 14:03:03","Gülmekten karnım ağrıdı 😂😂😂"
"2025-04-26 14:03:10","Lag var yayında düzelt şunu."
"2025-04-26 14:03:18","Stream is lagging hard wtf?"
"2025-04-26 14:03:25","Bu kadar kötü oynanmaz be kardeşim."
"2025-04-26 14:03:33","Uninstall the game maybe? 🤔"
"2025-04-26 14:03:40","Çöp."
"2025-04-26 14:03:45","Trash gameplay."
"2025-04-26 14:03:52","PogChamp THAT SHOT!"
"2025-04-26 14:04:00","Vay anasını! Efsane vuruş!"
"2025-04-26 14:04:08","Selamlar yeni geldim ne kaçırdım?"
"2025-04-26 14:04:15","Kappa"
"2025-04-26 14:04:22","Don't read the chat bro, full of idiots."
"2025-04-26 14:04:30","Chatteki mallara bakmayın abi siz devam."
"2025-04-26 14:04:38","Why so serious? Just have fun! :)"
"2025-04-26 14:04:45","Can you say hi to me? Pleaseee 🙏"
"2025-04-26 14:04:53","Bana bi selam salsana reizzz"
"2025-04-26 14:05:00","wtf was that decision???"
"2025-04-26 14:05:08","Abi salak mısın niye oraya gittin?"
"2025-04-26 14:05:15","GG WP"
"2025-04-26 14:05:22","EZ CLAP"
"2025-04-26 14:05:30","Bu neydi şimdi amk LMAO"
"2025-04-26 14:05:38","Get good noob."
"2025-04-26 14:05:45","Biraz gelişmen lazım kanka."
"2025-04-26 14:05:53","Anyone else bored?  Zzzzz"
"2025-04-26 14:06:00","Müzik aç biraz pls"
"2025-04-26 14:06:07","Play some music!"
"2025-04-26 14:06:15","Monitörünü sil kanka lekeli görünüyor 😂"
"2025-04-26 14:06:23","Clean your cam lol"
"2025-04-26 14:06:30","Bu yayıncı kadar malını görmedim yeminle."
"2025-04-26 14:06:38","How are you so bad at this game? Seriously?"
"2025-04-26 14:06:45","Ama güzel oynadı şimdi hakkını yemeyelim 👍"
"2025-04-26 14:06:53","Decent play, not bad."
"2025-04-26 14:07:00","!commands"
"2025-04-26 14:07:07","!uptime"
"2025-04-26 14:07:15","Kaç saattir yayındasın?"
"2025-04-26 14:07:23","Cringe alert!"
"2025-04-26 14:07:30","Saçmalamayın chat."
"2025-04-26 14:07:38","Stop being toxic guys wtf"
"2025-04-26 14:07:45","Bu chat kanser yemin ederim."
"2025-04-26 14:07:53","This chat is aids."
"2025-04-26 14:08:00","I love this community <3"
"2025-04-26 14:08:07","En iyi yayıncı sensin abi <3"
"2025-04-26 14:08:15","YAW HE HE"
"2025-04-26 14:08:22","Pepega Clap"
"2025-04-26 14:08:30","Abi bi F alırım?"
"2025-04-26 14:08:37","Press F to pay respects"
"2025-04-26 14:08:45","F"
"2025-04-26 14:08:46","F"
"2025-04-26 14:08:47","F"
"2025-04-26 14:08:55","Yeter amk spamlamayın şu F'yi."
"2025-04-26 14:09:02","Enough with the F spam holy shit"
"2025-04-26 14:09:10","Where are you from?"
"2025-04-26 14:09:18","Nerelisin abi?"
"2025-04-26 14:09:25","Dogwater player LMAO 💩"
"2025-04-26 14:09:33","İt gibi oynuyorsun kanka."
"2025-04-26 14:09:40","Maybe try another game? This isn't for you."
"2025-04-26 14:09:48","Bence başka oyuna geç abi bu sarmadı."
"2025-04-26 14:09:55","Hadi bitir şu maçı da gidelim."
"2025-04-26 14:10:03","End this torture pls."
"2025-04-26 14:10:10","GG!"
"2025-04-26 14:10:15","GGs only"
"2025-04-26 14:10:22","Nice game bro!"
"2025-04-26 14:10:30","İyi oyundu eline sağlık."
"2025-04-26 14:10:38","Finally over 🙏"
"2025-04-26 14:10:45","Nihayet bitti şükür."
"2025-04-26 14:10:53","What's next?"
"2025-04-26 14:11:00","Sıradaki oyun ne?"
"2025-04-26 14:11:05","Raid geliyor mu abi?"
"2025-04-26 14:11:11","Who are we raiding?"
"2025-04-26 14:11:18","Abi şu malı banla artık ya."
"2025-04-26 14:11:24","MODS? Ban this guy pls."
"2025-04-26 14:11:30","Biraz daha sakin chat lütfen 🙏"
"2025-04-26 14:11:37","Chill out everyone."
"2025-04-26 14:11:45","Bu ne hız abi yetişemiyoruz yazılanlara :D"
"2025-04-26 14:11:52","Chat going too fast lol"
"2025-04-26 14:12:00","Bir kahve molası?"
"2025-04-26 14:12:08","AFK?"
"2025-04-26 14:12:15","Yayın dondu bende."
"2025-04-26 14:12:21","Stream frozen for anyone else?"
"2025-04-26 14:12:28","Hayır bende akıyor."
"2025-04-26 14:12:33","Working fine here."
"2025-04-26 14:12:40","Internetini kontrol et kanka."
"2025-04-26 14:12:47","Check your connection bro."
"2025-04-26 14:12:55","O nasıl bir ölümdü öyle KEKW"
"2025-04-26 14:13:03","Died to fall damage OMEGALUL"
"2025-04-26 14:13:10","Yetenek sıfır."
"2025-04-26 14:13:16","Skill issue."
"2025-04-26 14:13:23","Moral bozmayın adamın moralini!"
"2025-04-26 14:13:30","Don't be toxic, let him play."
"2025-04-26 14:13:38","Bu şarkı çok iyiymiş adı ne?"
"2025-04-26 14:13:45","Song name? Pog"
"2025-04-26 14:13:53","!song"
"2025-04-26 14:14:00","Abi selamımı okur musun? <3"
"2025-04-26 14:14:07","Say hi from Brazil! 🇧🇷"
"2025-04-26 14:14:15","Aleyküm selam kardeşim."
"2025-04-26 14:14:22","Bu oyunu ilk defa görüyorum."
"2025-04-26 14:14:29","Never seen this game before, looks cool."
"2025-04-26 14:14:37","Çok eski oyun bu ya."
"2025-04-26 14:14:44","This game is ancient lol"
"2025-04-26 14:14:51","Grafikler çöp 🗑️"
"2025-04-26 14:14:58","Graphics are potato quality."
"2025-04-26 14:15:05","Önemli olan oynanış!"
"2025-04-26 14:15:11","Gameplay > Graphics"
"2025-04-26 14:15:19","Adam haklı beyler."
"2025-04-26 14:15:25","True dat."
"2025-04-26 14:15:33","Kaç kill aldın şimdiye kadar?"
"2025-04-26 14:15:40","What's the kill count?"
"2025-04-26 14:15:48","Sıfır çekti yine LUL"
"2025-04-26 14:15:55","Zero kills PepeHands"
"2025-04-26 14:16:03","Sub goal ne kadar kaldı?"
"2025-04-26 14:16:10","How far from sub goal?"
"2025-04-26 14:16:18","Hadi bastırın sublara! 🔥"
"2025-04-26 14:16:25","Let's hit that goal!"
"2025-04-26 14:16:33","Para dilenme pls."
"2025-04-26 14:16:40","Stop begging for subs dude."
"2025-04-26 14:16:48","Adam emek veriyor, ne dilenmesi?"
"2025-04-26 14:16:55","He's working hard, show some support!"
"2025-04-26 14:17:03","Ohaaa drop geldi! Şanslı piç :D"
"2025-04-26 14:17:10","OMG HE GOT THE DROP! Lucky bastard!"
"2025-04-26 14:17:18","Bana niye hiç düşmüyor amk?"
"2025-04-26 14:17:25","Why do I never get drops? rigged?"
"2025-04-26 14:17:33","RNGesus 🙏"
"2025-04-26 14:17:40","Yayın kalitesi düştü sanki?"
"2025-04-26 14:17:47","Stream quality dropped? Bitrate?"
"2025-04-26 14:17:55","1080p izliyorum bende sorun yok."
"2025-04-26 14:18:02","Looks fine on my end (1080p)."
"2025-04-26 14:18:10","MODS!"
"2025-04-26 14:18:15","MODS!"
"2025-04-26 14:18:20","SPAM SPAM SPAM"
"2025-04-26 14:18:25","Banlayın şu spamcıyı."
"2025-04-26 14:18:31","Timeout this spammer."
"2025-04-26 14:18:39","Ne zaman bitiyor yayın?"
"2025-04-26 14:18:46","When does the stream end?"
"2025-04-26 14:18:54","Daha yeni başladık sayılır."
"2025-04-26 14:19:01","We just started basically."
"2025-04-26 14:19:09","Facecam niye kapalı?"
"2025-04-26 14:19:16","Why no facecam today?"
"2025-04-26 14:19:24","Hasta galiba."
"2025-04-26 14:19:30","Maybe he's sick?"
"2025-04-26 14:19:38","Geçmiş olsun abi."
"2025-04-26 14:19:45","Get well soon!"
"2025-04-26 14:19:53","Bu adamın gülüşü çok iyi ya 😂"
"2025-04-26 14:20:00","His laugh is contagious lol"
"2025-04-26 14:20:08","Dikkat et arkanda!"
"2025-04-26 14:20:14","WATCH OUT BEHIND YOU!"
"2025-04-26 14:20:21","Öldü yine mal."
"2025-04-26 14:20:27","Aaaand he's dead again. Surprise."
"2025-04-26 14:20:35","Scripted?"
"2025-04-26 14:20:41","Bu kadar da olmaz amk."
"2025-04-26 14:20:49","How is that even possible??"
"2025-04-26 14:20:57","Chati okumaktan oynayamıyor adam :D"
"2025-04-26 14:21:04","Can't play while reading chat lol"
"2025-04-26 14:21:12","Kapat chati abi odaklan."
"2025-04-26 14:21:19","Ignore chat bro, focus!"
"2025-04-26 14:21:27","Sponsorlu yayın mı bu?"
"2025-04-26 14:21:34","Is this a sponsored stream?"
"2025-04-26 14:21:42","Paranın köpeği olmuşsun."
"2025-04-26 14:21:49","Sellout smh"
"2025-04-26 14:21:57","Adam işini yapıyor ne var bunda?"
"2025-04-26 14:22:04","Man's gotta eat, what's the big deal?"
"2025-04-26 14:22:12","GG EZ NO RE"
"2025-04-26 14:22:20","Kolaydı."
"2025-04-26 14:22:28","Rakip çok kötüydü."
"2025-04-26 14:22:35","Enemy team was actual bots."
"2025-04-26 14:22:43","Yine de iyi oynadın abi."
"2025-04-26 14:22:50","Still well played tho."
"2025-04-26 14:22:58","Teşekkürler izlediğiniz için! Yarın görüşürüz!"
"2025-04-26 14:23:05","Thanks for watching everyone! See you tomorrow!"
"2025-04-26 14:23:12","Bay bay! 👋"
"2025-04-26 14:23:18","Bye! <3"
